0.68   	0.74    0.71    1.16
0.41   	0.45    0.43    0.71
0.17   	0.19    0.17    0.28
0.27   	0.30    0.28    0.46
0.53  	0.59    0.56    0.92
0.82  	0.89    0.86    1.40
1.10  	1.20    1.16    1.88
1.39  	1.50    1.45    2.32
1.66  	1.79    1.73    2.71
1.89  	2.04    1.98    2.99
2.17 	2.34    2.26    3.17
2.46  	2.64    2.55    3.44
2.78  	2.97    2.87    3.66
2.62  	2.78    2.70    3.39
2.31  	2.46    2.39    3.29
2.03  	2.18    2.11    3.10
1.77  	1.91    1.85    2.79
1.52  	1.64    1.59    2.50
1.25  	1.35    1.31    2.11
0.97  	1.05    1.01    1.65
